Jour;Date;Date_Format_1;Flux;Commande;Capacitaire
Dimanche;01/01/2023;20230101;HLB;0;0
Dimanche;01/01/2023;20230101;Help Desk;0;0
Lundi;02/01/2023;20230102;HLB;379;535,3333524
Lundi;02/01/2023;20230102;Help Desk;13;0
Mardi;03/01/2023;20230103;HLB;336;494,236512
Mardi;03/01/2023;20230103;Help Desk;11;0
Mercredi;04/01/2023;20230104;HLB;342;496,1167596
Mercredi;04/01/2023;20230104;Help Desk;11;0
Jeudi;05/01/2023;20230105;HLB;332;478,6573176
Jeudi;05/01/2023;20230105;Help Desk;11;0
Vendredi;06/01/2023;20230106;HLB;317;446,9617152
Vendredi;06/01/2023;20230106;Help Desk;11;0
Samedi;07/01/2023;20230107;HLB;230;235,03095
Samedi;07/01/2023;20230107;Help Desk;8;0
Dimanche;08/01/2023;20230108;HLB;0;0
Dimanche;08/01/2023;20230108;Help Desk;0;0
Lundi;09/01/2023;20230109;HLB;393;535,3333524
Lundi;09/01/2023;20230109;Help Desk;13;0
Mardi;10/01/2023;20230110;HLB;349;494,236512
Mardi;10/01/2023;20230110;Help Desk;12;0
Mercredi;11/01/2023;20230111;HLB;356;496,1167596
Mercredi;11/01/2023;20230111;Help Desk;12;0
Jeudi;12/01/2023;20230112;HLB;345;478,6573176
Jeudi;12/01/2023;20230112;Help Desk;12;0
Vendredi;13/01/2023;20230113;HLB;330;446,9617152
Vendredi;13/01/2023;20230113;Help Desk;11;0
Samedi;14/01/2023;20230114;HLB;239;235,03095
Samedi;14/01/2023;20230114;Help Desk;8;0
Dimanche;15/01/2023;20230115;HLB;0;0
Dimanche;15/01/2023;20230115;Help Desk;0;0
Lundi;16/01/2023;20230116;HLB;356;535,3333524
Lundi;16/01/2023;20230116;Help Desk;12;0
Mardi;17/01/2023;20230117;HLB;316;494,236512
Mardi;17/01/2023;20230117;Help Desk;11;0
Mercredi;18/01/2023;20230118;HLB;322;496,1167596
Mercredi;18/01/2023;20230118;Help Desk;11;0
Jeudi;19/01/2023;20230119;HLB;313;478,6573176
Jeudi;19/01/2023;20230119;Help Desk;10;0
Vendredi;20/01/2023;20230120;HLB;299;446,9617152
Vendredi;20/01/2023;20230120;Help Desk;10;0
Samedi;21/01/2023;20230121;HLB;216;235,03095
Samedi;21/01/2023;20230121;Help Desk;7;0
Dimanche;22/01/2023;20230122;HLB;0;0
Dimanche;22/01/2023;20230122;Help Desk;0;0
Lundi;23/01/2023;20230123;HLB;356;535,3333524
Lundi;23/01/2023;20230123;Help Desk;12;0
Mardi;24/01/2023;20230124;HLB;316;494,236512
Mardi;24/01/2023;20230124;Help Desk;11;0
Mercredi;25/01/2023;20230125;HLB;322;496,1167596
Mercredi;25/01/2023;20230125;Help Desk;11;0
Jeudi;26/01/2023;20230126;HLB;313;478,6573176
Jeudi;26/01/2023;20230126;Help Desk;10;0
Vendredi;27/01/2023;20230127;HLB;299;446,9617152
Vendredi;27/01/2023;20230127;Help Desk;10;0
Samedi;28/01/2023;20230128;HLB;216;235,03095
Samedi;28/01/2023;20230128;Help Desk;7;0
Dimanche;29/01/2023;20230129;HLB;0;0
Dimanche;29/01/2023;20230129;Help Desk;0;0
Lundi;30/01/2023;20230130;HLB;347;535,3333524
Lundi;30/01/2023;20230130;Help Desk;12;0
Mardi;31/01/2023;20230131;HLB;308;494,236512
Mardi;31/01/2023;20230131;Help Desk;10;0
Mercredi;01/02/2023;20230201;HLB;336;496,1167596
Mercredi;01/02/2023;20230201;Help Desk;22;0
Jeudi;02/02/2023;20230202;HLB;322;478,6573176
Jeudi;02/02/2023;20230202;Help Desk;21;0
Vendredi;03/02/2023;20230203;HLB;320;446,9617152
Vendredi;03/02/2023;20230203;Help Desk;21;0
Samedi;04/02/2023;20230204;HLB;212;235,03095
Samedi;04/02/2023;20230204;Help Desk;14;0
Dimanche;05/02/2023;20230205;HLB;0;0
Dimanche;05/02/2023;20230205;Help Desk;0;0
Lundi;06/02/2023;20230206;HLB;387;535,3333524
Lundi;06/02/2023;20230206;Help Desk;25;0
Mardi;07/02/2023;20230207;HLB;327;494,236512
Mardi;07/02/2023;20230207;Help Desk;21;0
Mercredi;08/02/2023;20230208;HLB;333;496,1167596
Mercredi;08/02/2023;20230208;Help Desk;22;0
Jeudi;09/02/2023;20230209;HLB;319;478,6573176
Jeudi;09/02/2023;20230209;Help Desk;21;0
Vendredi;10/02/2023;20230210;HLB;318;446,9617152
Vendredi;10/02/2023;20230210;Help Desk;21;0
Samedi;11/02/2023;20230211;HLB;210;235,03095
Samedi;11/02/2023;20230211;Help Desk;14;0
Dimanche;12/02/2023;20230212;HLB;0;0
Dimanche;12/02/2023;20230212;Help Desk;0;0
Lundi;13/02/2023;20230213;HLB;393;535,3333524
Lundi;13/02/2023;20230213;Help Desk;25;0
Mardi;14/02/2023;20230214;HLB;332;494,236512
Mardi;14/02/2023;20230214;Help Desk;21;0
Mercredi;15/02/2023;20230215;HLB;339;496,1167596
Mercredi;15/02/2023;20230215;Help Desk;22;0
Jeudi;16/02/2023;20230216;HLB;324;478,6573176
Jeudi;16/02/2023;20230216;Help Desk;21;0
Vendredi;17/02/2023;20230217;HLB;323;446,9617152
Vendredi;17/02/2023;20230217;Help Desk;21;0
Samedi;18/02/2023;20230218;HLB;214;235,03095
Samedi;18/02/2023;20230218;Help Desk;14;0
Dimanche;19/02/2023;20230219;HLB;0;0
Dimanche;19/02/2023;20230219;Help Desk;0;0
Lundi;20/02/2023;20230220;HLB;399;535,3333524
Lundi;20/02/2023;20230220;Help Desk;26;0
Mardi;21/02/2023;20230221;HLB;337;494,236512
Mardi;21/02/2023;20230221;Help Desk;22;0
Mercredi;22/02/2023;20230222;HLB;344;496,1167596
Mercredi;22/02/2023;20230222;Help Desk;22;0
Jeudi;23/02/2023;20230223;HLB;329;478,6573176
Jeudi;23/02/2023;20230223;Help Desk;21;0
Vendredi;24/02/2023;20230224;HLB;328;446,9617152
Vendredi;24/02/2023;20230224;Help Desk;21;0
Samedi;25/02/2023;20230225;HLB;217;235,03095
Samedi;25/02/2023;20230225;Help Desk;14;0
Dimanche;26/02/2023;20230226;HLB;0;0
Dimanche;26/02/2023;20230226;Help Desk;0;0
Lundi;27/02/2023;20230227;HLB;375;535,3333524
Lundi;27/02/2023;20230227;Help Desk;24;0
Mardi;28/02/2023;20230228;HLB;317;494,236512
Mardi;28/02/2023;20230228;Help Desk;20;0
Mercredi;01/03/2023;20230301;HLB;337;496,1167596
Mercredi;01/03/2023;20230301;Help Desk;18;0
Jeudi;02/03/2023;20230302;HLB;322;478,6573176
Jeudi;02/03/2023;20230302;Help Desk;17;0
Vendredi;03/03/2023;20230303;HLB;321;446,9617152
Vendredi;03/03/2023;20230303;Help Desk;17;0
Samedi;04/03/2023;20230304;HLB;212;235,03095
Samedi;04/03/2023;20230304;Help Desk;11;0
Dimanche;05/03/2023;20230305;HLB;0;0
Dimanche;05/03/2023;20230305;Help Desk;0;0
Lundi;06/03/2023;20230306;HLB;411;535,3333524
Lundi;06/03/2023;20230306;Help Desk;22;0
Mardi;07/03/2023;20230307;HLB;347;494,236512
Mardi;07/03/2023;20230307;Help Desk;19;0
Mercredi;08/03/2023;20230308;HLB;354;496,1167596
Mercredi;08/03/2023;20230308;Help Desk;19;0
Jeudi;09/03/2023;20230309;HLB;339;478,6573176
Jeudi;09/03/2023;20230309;Help Desk;18;0
Vendredi;10/03/2023;20230310;HLB;337;446,9617152
Vendredi;10/03/2023;20230310;Help Desk;18;0
Samedi;11/03/2023;20230311;HLB;223;235,03095
Samedi;11/03/2023;20230311;Help Desk;12;0
Dimanche;12/03/2023;20230312;HLB;0;0
Dimanche;12/03/2023;20230312;Help Desk;0;0
Lundi;13/03/2023;20230313;HLB;390;535,3333524
Lundi;13/03/2023;20230313;Help Desk;21;0
Mardi;14/03/2023;20230314;HLB;329;494,236512
Mardi;14/03/2023;20230314;Help Desk;18;0
Mercredi;15/03/2023;20230315;HLB;336;496,1167596
Mercredi;15/03/2023;20230315;Help Desk;18;0
Jeudi;16/03/2023;20230316;HLB;321;478,6573176
Jeudi;16/03/2023;20230316;Help Desk;17;0
Vendredi;17/03/2023;20230317;HLB;320;446,9617152
Vendredi;17/03/2023;20230317;Help Desk;17;0
Samedi;18/03/2023;20230318;HLB;212;235,03095
Samedi;18/03/2023;20230318;Help Desk;11;0
Dimanche;19/03/2023;20230319;HLB;0;0
Dimanche;19/03/2023;20230319;Help Desk;0;0
Lundi;20/03/2023;20230320;HLB;377;535,3333524
Lundi;20/03/2023;20230320;Help Desk;20;0
Mardi;21/03/2023;20230321;HLB;318;494,236512
Mardi;21/03/2023;20230321;Help Desk;17;0
Mercredi;22/03/2023;20230322;HLB;325;496,1167596
Mercredi;22/03/2023;20230322;Help Desk;17;0
Jeudi;23/03/2023;20230323;HLB;311;478,6573176
Jeudi;23/03/2023;20230323;Help Desk;17;0
Vendredi;24/03/2023;20230324;HLB;310;446,9617152
Vendredi;24/03/2023;20230324;Help Desk;17;0
Samedi;25/03/2023;20230325;HLB;205;235,03095
Samedi;25/03/2023;20230325;Help Desk;11;0
Dimanche;26/03/2023;20230326;HLB;0;0
Dimanche;26/03/2023;20230326;Help Desk;0;0
Lundi;27/03/2023;20230327;HLB;396;486,666684
Lundi;27/03/2023;20230327;Help Desk;21;0
Mardi;28/03/2023;20230328;HLB;334;449,30592
Mardi;28/03/2023;20230328;Help Desk;18;0
Mercredi;29/03/2023;20230329;HLB;341;451,015236
Mercredi;29/03/2023;20230329;Help Desk;18;0
Jeudi;30/03/2023;20230330;HLB;326;435,143016
Jeudi;30/03/2023;20230330;Help Desk;17;0
Vendredi;31/03/2023;20230331;HLB;325;406,328832
Vendredi;31/03/2023;20230331;Help Desk;17;0
Samedi;01/04/2023;20230401;HLB;215;213,6645
Samedi;01/04/2023;20230401;Help Desk;12;0
Dimanche;02/04/2023;20230402;HLB;0;0
Dimanche;02/04/2023;20230402;Help Desk;0;0
Lundi;03/04/2023;20230403;HLB;409;486,666684
Lundi;03/04/2023;20230403;Help Desk;19;0
Mardi;04/04/2023;20230404;HLB;346;449,30592
Mardi;04/04/2023;20230404;Help Desk;16;0
Mercredi;05/04/2023;20230405;HLB;353;451,015236
Mercredi;05/04/2023;20230405;Help Desk;17;0
Jeudi;06/04/2023;20230406;HLB;338;435,143016
Jeudi;06/04/2023;20230406;Help Desk;16;0
Vendredi;07/04/2023;20230407;HLB;336;406,328832
Vendredi;07/04/2023;20230407;Help Desk;16;0
Samedi;08/04/2023;20230408;HLB;223;213,6645
Samedi;08/04/2023;20230408;Help Desk;11;0
Dimanche;09/04/2023;20230409;HLB;0;0
Dimanche;09/04/2023;20230409;Help Desk;0;0
Lundi;10/04/2023;20230410;HLB;0;0
Lundi;10/04/2023;20230410;Help Desk;0;0
Mardi;11/04/2023;20230411;HLB;451;449,30592
Mardi;11/04/2023;20230411;Help Desk;21;0
Mercredi;12/04/2023;20230412;HLB;417;451,015236
Mercredi;12/04/2023;20230412;Help Desk;20;0
Jeudi;13/04/2023;20230413;HLB;394;435,143016
Jeudi;13/04/2023;20230413;Help Desk;19;0
Vendredi;14/04/2023;20230414;HLB;387;406,328832
Vendredi;14/04/2023;20230414;Help Desk;18;0
Samedi;15/04/2023;20230415;HLB;259;213,6645
Samedi;15/04/2023;20230415;Help Desk;12;0
Dimanche;16/04/2023;20230416;HLB;0;0
Dimanche;16/04/2023;20230416;Help Desk;0;0
Lundi;17/04/2023;20230417;HLB;416;486,666684
Lundi;17/04/2023;20230417;Help Desk;20;0
Mardi;18/04/2023;20230418;HLB;351;449,30592
Mardi;18/04/2023;20230418;Help Desk;17;0
Mercredi;19/04/2023;20230419;HLB;358;451,015236
Mercredi;19/04/2023;20230419;Help Desk;17;0
Jeudi;20/04/2023;20230420;HLB;343;435,143016
Jeudi;20/04/2023;20230420;Help Desk;16;0
Vendredi;21/04/2023;20230421;HLB;342;406,328832
Vendredi;21/04/2023;20230421;Help Desk;16;0
Samedi;22/04/2023;20230422;HLB;226;213,6645
Samedi;22/04/2023;20230422;Help Desk;11;0
Dimanche;23/04/2023;20230423;HLB;0;0
Dimanche;23/04/2023;20230423;Help Desk;0;0
Lundi;24/04/2023;20230424;HLB;423;535,3333524
Lundi;24/04/2023;20230424;Help Desk;20;0
Mardi;25/04/2023;20230425;HLB;357;494,236512
Mardi;25/04/2023;20230425;Help Desk;17;0
Mercredi;26/04/2023;20230426;HLB;364;496,1167596
Mercredi;26/04/2023;20230426;Help Desk;17;0
Jeudi;27/04/2023;20230427;HLB;349;478,6573176
Jeudi;27/04/2023;20230427;Help Desk;16;0
Vendredi;28/04/2023;20230428;HLB;347;446,9617152
Vendredi;28/04/2023;20230428;Help Desk;16;0
Samedi;29/04/2023;20230429;HLB;230;235,03095
Samedi;29/04/2023;20230429;Help Desk;11;0
Dimanche;30/04/2023;20230430;HLB;0;0
Dimanche;30/04/2023;20230430;Help Desk;0;0
Lundi;01/05/2023;20230501;HLB;0;0
Lundi;01/05/2023;20230501;Help Desk;0;0
Mardi;02/05/2023;20230502;HLB;410;494,236512
Mardi;02/05/2023;20230502;Help Desk;19;0
Mercredi;03/05/2023;20230503;HLB;379;496,1167596
Mercredi;03/05/2023;20230503;Help Desk;18;0
Jeudi;04/05/2023;20230504;HLB;358;478,6573176
Jeudi;04/05/2023;20230504;Help Desk;17;0
Vendredi;05/05/2023;20230505;HLB;352;446,9617152
Vendredi;05/05/2023;20230505;Help Desk;17;0
Samedi;06/05/2023;20230506;HLB;236;235,03095
Samedi;06/05/2023;20230506;Help Desk;11;0
Dimanche;07/05/2023;20230507;HLB;0;0
Dimanche;07/05/2023;20230507;Help Desk;0;0
Lundi;08/05/2023;20230508;HLB;0;0
Lundi;08/05/2023;20230508;Help Desk;0;0
Mardi;09/05/2023;20230509;HLB;397;494,236512
Mardi;09/05/2023;20230509;Help Desk;19;0
Mercredi;10/05/2023;20230510;HLB;367;496,1167596
Mercredi;10/05/2023;20230510;Help Desk;17;0
Jeudi;11/05/2023;20230511;HLB;347;478,6573176
Jeudi;11/05/2023;20230511;Help Desk;16;0
Vendredi;12/05/2023;20230512;HLB;341;446,9617152
Vendredi;12/05/2023;20230512;Help Desk;16;0
Samedi;13/05/2023;20230513;HLB;228;235,03095
Samedi;13/05/2023;20230513;Help Desk;11;0
Dimanche;14/05/2023;20230514;HLB;0;0
Dimanche;14/05/2023;20230514;Help Desk;0;0
Lundi;15/05/2023;20230515;HLB;450;535,3333524
Lundi;15/05/2023;20230515;Help Desk;21;0
Mardi;16/05/2023;20230516;HLB;391;494,236512
Mardi;16/05/2023;20230516;Help Desk;18;0
Mercredi;17/05/2023;20230517;HLB;389;496,1167596
Mercredi;17/05/2023;20230517;Help Desk;18;0
Jeudi;18/05/2023;20230518;HLB;0;0
Jeudi;18/05/2023;20230518;Help Desk;0;0
Vendredi;19/05/2023;20230519;HLB;373;446,9617152
Vendredi;19/05/2023;20230519;Help Desk;18;0
Samedi;20/05/2023;20230520;HLB;213;235,03095
Samedi;20/05/2023;20230520;Help Desk;10;0
Dimanche;21/05/2023;20230521;HLB;0;0
Dimanche;21/05/2023;20230521;Help Desk;0;0
Lundi;22/05/2023;20230522;HLB;349;535,3333524
Lundi;22/05/2023;20230522;Help Desk;16;0
Mardi;23/05/2023;20230523;HLB;294;494,236512
Mardi;23/05/2023;20230523;Help Desk;14;0
Mercredi;24/05/2023;20230524;HLB;300;496,1167596
Mercredi;24/05/2023;20230524;Help Desk;14;0
Jeudi;25/05/2023;20230525;HLB;288;478,6573176
Jeudi;25/05/2023;20230525;Help Desk;14;0
Vendredi;26/05/2023;20230526;HLB;286;446,9617152
Vendredi;26/05/2023;20230526;Help Desk;14;0
Samedi;27/05/2023;20230527;HLB;190;235,03095
Samedi;27/05/2023;20230527;Help Desk;9;0
Dimanche;28/05/2023;20230528;HLB;0;0
Dimanche;28/05/2023;20230528;Help Desk;0;0
Lundi;29/05/2023;20230529;HLB;0;0
Lundi;29/05/2023;20230529;Help Desk;0;0
Mardi;30/05/2023;20230530;HLB;498;494,236512
Mardi;30/05/2023;20230530;Help Desk;24;0
Mercredi;31/05/2023;20230531;HLB;461;496,1167596
Mercredi;31/05/2023;20230531;Help Desk;22;0
Jeudi;01/06/2023;20230601;HLB;422;478,6573176
Jeudi;01/06/2023;20230601;Help Desk;23;0
Vendredi;02/06/2023;20230602;HLB;415;446,9617152
Vendredi;02/06/2023;20230602;Help Desk;23;0
Samedi;03/06/2023;20230603;HLB;278;235,03095
Samedi;03/06/2023;20230603;Help Desk;15;0
Dimanche;04/06/2023;20230604;HLB;0;0
Dimanche;04/06/2023;20230604;Help Desk;0;0
Lundi;05/06/2023;20230605;HLB;399;535,3333524
Lundi;05/06/2023;20230605;Help Desk;22;0
Mardi;06/06/2023;20230606;HLB;337;494,236512
Mardi;06/06/2023;20230606;Help Desk;19;0
Mercredi;07/06/2023;20230607;HLB;343;496,1167596
Mercredi;07/06/2023;20230607;Help Desk;19;0
Jeudi;08/06/2023;20230608;HLB;329;478,6573176
Jeudi;08/06/2023;20230608;Help Desk;18;0
Vendredi;09/06/2023;20230609;HLB;327;446,9617152
Vendredi;09/06/2023;20230609;Help Desk;18;0
Samedi;10/06/2023;20230610;HLB;217;235,03095
Samedi;10/06/2023;20230610;Help Desk;12;0
Dimanche;11/06/2023;20230611;HLB;0;0
Dimanche;11/06/2023;20230611;Help Desk;0;0
Lundi;12/06/2023;20230612;HLB;405;535,3333524
Lundi;12/06/2023;20230612;Help Desk;22;0
Mardi;13/06/2023;20230613;HLB;342;494,236512
Mardi;13/06/2023;20230613;Help Desk;19;0
Mercredi;14/06/2023;20230614;HLB;349;496,1167596
Mercredi;14/06/2023;20230614;Help Desk;19;0
Jeudi;15/06/2023;20230615;HLB;334;478,6573176
Jeudi;15/06/2023;20230615;Help Desk;19;0
Vendredi;16/06/2023;20230616;HLB;333;446,9617152
Vendredi;16/06/2023;20230616;Help Desk;18;0
Samedi;17/06/2023;20230617;HLB;220;235,03095
Samedi;17/06/2023;20230617;Help Desk;12;0
Dimanche;18/06/2023;20230618;HLB;0;0
Dimanche;18/06/2023;20230618;Help Desk;0;0
Lundi;19/06/2023;20230619;HLB;472;535,3333524
Lundi;19/06/2023;20230619;Help Desk;26;0
Mardi;20/06/2023;20230620;HLB;399;494,236512
Mardi;20/06/2023;20230620;Help Desk;22;0
Mercredi;21/06/2023;20230621;HLB;406;496,1167596
Mercredi;21/06/2023;20230621;Help Desk;23;0
Jeudi;22/06/2023;20230622;HLB;389;478,6573176
Jeudi;22/06/2023;20230622;Help Desk;22;0
Vendredi;23/06/2023;20230623;HLB;388;446,9617152
Vendredi;23/06/2023;20230623;Help Desk;21;0
Samedi;24/06/2023;20230624;HLB;257;235,03095
Samedi;24/06/2023;20230624;Help Desk;14;0
Dimanche;25/06/2023;20230625;HLB;0;0
Dimanche;25/06/2023;20230625;Help Desk;0;0
Lundi;26/06/2023;20230626;HLB;432;535,3333524
Lundi;26/06/2023;20230626;Help Desk;24;0
Mardi;27/06/2023;20230627;HLB;365;494,236512
Mardi;27/06/2023;20230627;Help Desk;20;0
Mercredi;28/06/2023;20230628;HLB;372;496,1167596
Mercredi;28/06/2023;20230628;Help Desk;21;0
Jeudi;29/06/2023;20230629;HLB;357;478,6573176
Jeudi;29/06/2023;20230629;Help Desk;20;0
Vendredi;30/06/2023;20230630;HLB;355;446,9617152
Vendredi;30/06/2023;20230630;Help Desk;20;0
Samedi;01/07/2023;20230701;HLB;235;235,03095
Samedi;01/07/2023;20230701;Help Desk;13;0
Dimanche;02/07/2023;20230702;HLB;0;0
Dimanche;02/07/2023;20230702;Help Desk;0;0
Lundi;03/07/2023;20230703;HLB;446;535,3333524
Lundi;03/07/2023;20230703;Help Desk;25;0
Mardi;04/07/2023;20230704;HLB;377;494,236512
Mardi;04/07/2023;20230704;Help Desk;21;0
Mercredi;05/07/2023;20230705;HLB;384;496,1167596
Mercredi;05/07/2023;20230705;Help Desk;21;0
Jeudi;06/07/2023;20230706;HLB;368;478,6573176
Jeudi;06/07/2023;20230706;Help Desk;20;0
Vendredi;07/07/2023;20230707;HLB;367;446,9617152
Vendredi;07/07/2023;20230707;Help Desk;20;0
Samedi;08/07/2023;20230708;HLB;243;235,03095
Samedi;08/07/2023;20230708;Help Desk;13;0
Dimanche;09/07/2023;20230709;HLB;0;0
Dimanche;09/07/2023;20230709;Help Desk;0;0
Lundi;10/07/2023;20230710;HLB;491;535,3333524
Lundi;10/07/2023;20230710;Help Desk;27;0
Mardi;11/07/2023;20230711;HLB;426;494,236512
Mardi;11/07/2023;20230711;Help Desk;24;0
Mercredi;12/07/2023;20230712;HLB;382;496,1167596
Mercredi;12/07/2023;20230712;Help Desk;21;0
Jeudi;13/07/2023;20230713;HLB;322;478,6573176
Jeudi;13/07/2023;20230713;Help Desk;18;0
Vendredi;14/07/2023;20230714;HLB;0;0
Vendredi;14/07/2023;20230714;Help Desk;0;0
Samedi;15/07/2023;20230715;HLB;275;235,03095
Samedi;15/07/2023;20230715;Help Desk;15;0
Dimanche;16/07/2023;20230716;HLB;0;0
Dimanche;16/07/2023;20230716;Help Desk;0;0
Lundi;17/07/2023;20230717;HLB;450;535,3333524
Lundi;17/07/2023;20230717;Help Desk;25;0
Mardi;18/07/2023;20230718;HLB;380;494,236512
Mardi;18/07/2023;20230718;Help Desk;21;0
Mercredi;19/07/2023;20230719;HLB;387;496,1167596
Mercredi;19/07/2023;20230719;Help Desk;21;0
Jeudi;20/07/2023;20230720;HLB;371;478,6573176
Jeudi;20/07/2023;20230720;Help Desk;21;0
Vendredi;21/07/2023;20230721;HLB;369;446,9617152
Vendredi;21/07/2023;20230721;Help Desk;20;0
Samedi;22/07/2023;20230722;HLB;244;235,03095
Samedi;22/07/2023;20230722;Help Desk;14;0
Dimanche;23/07/2023;20230723;HLB;0;0
Dimanche;23/07/2023;20230723;Help Desk;0;0
Lundi;24/07/2023;20230724;HLB;414;535,3333524
Lundi;24/07/2023;20230724;Help Desk;23;0
Mardi;25/07/2023;20230725;HLB;350;494,236512
Mardi;25/07/2023;20230725;Help Desk;19;0
Mercredi;26/07/2023;20230726;HLB;357;496,1167596
Mercredi;26/07/2023;20230726;Help Desk;20;0
Jeudi;27/07/2023;20230727;HLB;342;478,6573176
Jeudi;27/07/2023;20230727;Help Desk;19;0
Vendredi;28/07/2023;20230728;HLB;340;446,9617152
Vendredi;28/07/2023;20230728;Help Desk;19;0
Samedi;29/07/2023;20230729;HLB;225;235,03095
Samedi;29/07/2023;20230729;Help Desk;12;0
Dimanche;30/07/2023;20230730;HLB;0;0
Dimanche;30/07/2023;20230730;Help Desk;0;0
Lundi;31/07/2023;20230731;HLB;352;535,3333524
Lundi;31/07/2023;20230731;Help Desk;19;0
Mardi;01/08/2023;20230801;HLB;313;494,236512
Mardi;01/08/2023;20230801;Help Desk;17;0
Mercredi;02/08/2023;20230802;HLB;319;496,1167596
Mercredi;02/08/2023;20230802;Help Desk;17;0
Jeudi;03/08/2023;20230803;HLB;306;478,6573176
Jeudi;03/08/2023;20230803;Help Desk;16;0
Vendredi;04/08/2023;20230804;HLB;304;446,9617152
Vendredi;04/08/2023;20230804;Help Desk;16;0
Samedi;05/08/2023;20230805;HLB;201;235,03095
Samedi;05/08/2023;20230805;Help Desk;11;0
Dimanche;06/08/2023;20230806;HLB;0;0
Dimanche;06/08/2023;20230806;Help Desk;0;0
Lundi;07/08/2023;20230807;HLB;375;535,3333524
Lundi;07/08/2023;20230807;Help Desk;20;0
Mardi;08/08/2023;20230808;HLB;316;494,236512
Mardi;08/08/2023;20230808;Help Desk;17;0
Mercredi;09/08/2023;20230809;HLB;323;496,1167596
Mercredi;09/08/2023;20230809;Help Desk;17;0
Jeudi;10/08/2023;20230810;HLB;309;478,6573176
Jeudi;10/08/2023;20230810;Help Desk;17;0
Vendredi;11/08/2023;20230811;HLB;308;446,9617152
Vendredi;11/08/2023;20230811;Help Desk;16;0
Samedi;12/08/2023;20230812;HLB;204;235,03095
Samedi;12/08/2023;20230812;Help Desk;11;0
Dimanche;13/08/2023;20230813;HLB;0;0
Dimanche;13/08/2023;20230813;Help Desk;0;0
Lundi;14/08/2023;20230814;HLB;406;535,3333524
Lundi;14/08/2023;20230814;Help Desk;22;0
Mardi;15/08/2023;20230815;HLB;0;0
Mardi;15/08/2023;20230815;Help Desk;0;0
Mercredi;16/08/2023;20230816;HLB;414;496,1167596
Mercredi;16/08/2023;20230816;Help Desk;22;0
Jeudi;17/08/2023;20230817;HLB;345;478,6573176
Jeudi;17/08/2023;20230817;Help Desk;18;0
Vendredi;18/08/2023;20230818;HLB;373;446,9617152
Vendredi;18/08/2023;20230818;Help Desk;20;0
Samedi;19/08/2023;20230819;HLB;248;235,03095
Samedi;19/08/2023;20230819;Help Desk;13;0
Dimanche;20/08/2023;20230820;HLB;0;0
Dimanche;20/08/2023;20230820;Help Desk;0;0
Lundi;21/08/2023;20230821;HLB;427;535,3333524
Lundi;21/08/2023;20230821;Help Desk;23;0
Mardi;22/08/2023;20230822;HLB;361;494,236512
Mardi;22/08/2023;20230822;Help Desk;19;0
Mercredi;23/08/2023;20230823;HLB;368;496,1167596
Mercredi;23/08/2023;20230823;Help Desk;20;0
Jeudi;24/08/2023;20230824;HLB;352;478,6573176
Jeudi;24/08/2023;20230824;Help Desk;19;0
Vendredi;25/08/2023;20230825;HLB;351;446,9617152
Vendredi;25/08/2023;20230825;Help Desk;19;0
Samedi;26/08/2023;20230826;HLB;232;235,03095
Samedi;26/08/2023;20230826;Help Desk;12;0
Dimanche;27/08/2023;20230827;HLB;0;0
Dimanche;27/08/2023;20230827;Help Desk;0;0
Lundi;28/08/2023;20230828;HLB;441;535,3333524
Lundi;28/08/2023;20230828;Help Desk;24;0
Mardi;29/08/2023;20230829;HLB;373;494,236512
Mardi;29/08/2023;20230829;Help Desk;20;0
Mercredi;30/08/2023;20230830;HLB;380;496,1167596
Mercredi;30/08/2023;20230830;Help Desk;20;0
Jeudi;31/08/2023;20230831;HLB;364;478,6573176
